year,coal,oil,gas,nuclear,hydropower,wind,solar,otherrenewables
1965,4832.994629,5386.78418,1887.601685,21.70013046,817.4337769,0,0,16.75332451
1966,4790.045898,5675.351563,2015.538452,28.66996956,853.6397095,0,0,18.11591911
1967,4616.810059,5959.620117,2119.727295,33.44723892,854.8916016,0,0,17.92398262
1968,4589.807617,6331.89209,2264.989746,41.63532257,881.942749,0,0,19.43686485
1969,4633.266113,6716.811523,2436.348877,48.35269928,914.8578491,0,0,20.01245117
1970,4609.583008,7162.239746,2598.112549,60.47748184,938.5905762,0,0,21.70894814
1971,4493.34375,7414.352051,2726.128418,82.44364929,961.1162109,0,0,23.13153458
1972,4454.881836,7818.02002,2820.019775,112.1076584,986.2359619,0,0,24.24988365
1973,4498.179199,8283.259766,2896.761963,147.3030548,980.9605103,0,0,25.52239609
1974,4416.326172,8011.950195,2912.205566,188.94133,1057.032227,0,0,26.69293785
1975,4418.344238,7774.467285,2858.145508,257.2509766,1050.215942,0,0,26.51005936
1976,4498.194336,8123.993652,2973.560059,295.5019836,1027.120117,0,0,29.02065086
1977,4549.305176,8258.211914,3016.865723,361.3042603,1042.878784,0,0,30.09020805
1978,4520.331055,8481.742188,3088.362793,412.519043,1108.996826,0.002058554,0,31.368536
1979,4648.675293,8461.256836,3222.924805,421.6010132,1144.308472,0.004052046,0,32.99061966
1980,4678.406738,7965.961426,3193.381104,453.1117859,1148.532227,0.006964208,0,34.49510956
1981,4661.606934,7549.397949,3172.998291,525.8201904,1152.884277,0.006843372,0,36.34732437
1982,4631.508789,7187.02832,3133.751953,560.5593262,1153.308105,0.011847438,0,41.41585922
1983,4691.14502,7008.648438,3128.763916,624.197876,1181.501099,0.020634767,0.001885517,45.06173325
1984,4807.90918,7040.132813,3324.132813,744.1159058,1199.960327,0.027663345,0.003901888,49.39804077
1985,4924.703125,6910.422363,3338.635742,867.3595581,1201.866577,0.038986146,0.007131554,50.16615295
1986,4890.17627,6995.339355,3310.330811,912.2120361,1196.128662,0.082757272,0.009051053,53.46264648
1987,4990.071289,7005.129395,3420.451904,974.2332764,1190.269775,0.114344366,0.006205431,56.18579865
1988,5046.647461,7103.905762,3515.522949,1042.956055,1206.230347,0.190553442,0.00585947,56.80604553
1989,5005.44043,7094.469238,3602.393799,1053.759033,1178.741333,1.496029854,0.148047879,61.46508789
1990,4862.384766,7059.193359,3656.694336,1065.474487,1198.189087,2.016166687,0.215519235,67.7848053
1991,4738.253906,6946.558105,3688.91626,1098.562012,1206.468506,2.231938362,0.27591452,69.58434296
1992,4647.570801,6938.069336,3648.626709,1089.866943,1187.578735,2.545240164,0.250901759,73.60381317
1993,4601.840332,6801.036621,3630.77124,1110.700439,1240.446289,3.018431187,0.294924587,74.95890808
1994,4553.084961,6850.171387,3600.405029,1115.257935,1230.278564,3.719210863,0.311728567,76.73715973
1995,4519.977051,6866.427246,3674.048584,1147.213867,1278.54248,4.253053665,0.32884711,79.07237244
1996,4563.543945,6921.04541,3804.239014,1172.440796,1277.761963,4.672693253,0.354951292,80.05272675
1997,4493.905762,7013.204102,3730.778564,1148.58606,1282.453613,6.018004894,0.375359774,84.6581955
1998,4405.564453,6958.378418,3748.503906,1152.788818,1275.22937,7.866443634,0.401092112,86.96963501
1999,4366.504395,6986.884766,3804.587646,1180.982788,1268.054688,10.34525013,0.441384405,90.05169678
2000,4464.282715,6979.57959,3905.462158,1191.994629,1273.837891,15.11636257,0.509681165,92.96955109
2001,4477.033203,6951.043945,3907.633545,1202.2052,1217.376831,18.11960411,0.671922624,95.32125092
2002,4594.550293,6919.785645,3971.743408,1198.293213,1216.368286,24.24380112,0.8332268,101.341713
2003,4936.047363,6985.953613,4031.922363,1151.983276,1191.968018,28.76069641,1.024855137,105.6195374
2004,5211.373535,7161.036133,4135.467285,1181.848389,1256.071289,38.18725204,1.325228095,112.7066345
2005,5528.57959,7134.095703,4194.009766,1162.92334,1274.220825,45.80112839,1.832630277,120.5902252
2006,5747.30127,7121.672363,4251.496094,1155.591553,1298.203857,57.3471489,2.47512579,126.8953781
2007,5998.652832,7121.554688,4371.358887,1111.136108,1295.654785,72.3141098,3.296344519,135.9985809
2008,6005.487793,6972.453125,4421.800293,1087.327026,1345.733887,91.63977051,5.2553339,143.6624451
2009,5845.330078,6746.850586,4277.73877,1052.359375,1319.105103,112.4682236,8.56292057,152.4667511
2010,6036.454102,6884.316895,4540.50293,1059.881714,1368.099243,138.2077179,13.52905941,169.6533661
2011,6251.124023,6860.420898,4592.796387,997.25177,1368.327026,172.5295258,25.69324493,177.1777649
2012,6200.328125,6877.599609,4658.069824,912.2745972,1401.304443,204.1200256,39.07005692,189.775589
2013,6218.734375,6867.411133,4677.608398,903.2853394,1431.832397,240.1945953,52.38560486,202.9062195
2014,6190.197266,6830.478027,4652.70459,905.5701294,1444.122559,262.106842,72.91366577,217.1995697
2015,5969.349121,6882.861328,4711.133301,901.850769,1415.201172,303.3540344,92.95352173,231.8703766
2016,5828.270996,6934.412109,4764.091797,899.5839844,1439.04126,345.0518188,117.4860611,232.7470856
2017,5796.32666,6957.384766,4839.479004,892.2521362,1434.970581,402.0730896,157.0598755,245.1798553
2018,5807.286621,6978.122559,5026.325195,898.4331665,1450.321045,440.3070068,199.781601,261.539032
2019,5665.407715,6918.896973,5064.258301,917.0062256,1446.016968,485.4521484,240.5655212,271.6236877
2020,5383.591797,6206.80127,4933.517578,871.005188,1464.289429,537.8826904,285.1190796,280.4083557
2021,5647.421387,6497.875,5126.962891,892.8735352,1420.100098,618.6821899,343.0777588,301.3475647
